element_name,element_class_sfb_mmg,worksection_class_sfb_mmg,worksection_name,activity_name,techflow_name,LCS_name,LCM_code,LCM_nest1_code,LCM_nest2_code,activity_type,techflow_unit,techflow_amount,indicator_GWP,indicator_PM,indicator_EP,indicator_old,indicator_aci,indicator_pof,indicator_dare,indicator_darf,indicator_HTc,indicator_HTnc,indicator_irhh,indicator_ecofw,indicator_ws,indicator_luosom,indicator_luobio,indicator_luourb,indicator_luoagr,indicator_luofor,indicator_lutsom,indicator_lutbio,indicator_luturb,indicator_lutagr
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,fibre board + bitumen,"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.32,5.26E-02,2.48E-05,2.77E-05,9.88717E-09,0.000170098,1.45186E-05,1.59181E-07,0.796757708,3.8491E-10,7.73879E-09,0.003721636,0.131032238,6.69307E-06,0.043075553,0.002493347,0.002877751,6.53748E-06,0.000622882,0.157423624,0.000146346,1.8232E-05,-7.18212E-06
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,fibre board + bitumen,"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.02,3.72E-03,1.68E-06,1.91E-06,6.7579E-10,1.1955E-05,1.01139E-06,1.48314E-08,0.055567606,3.20111E-11,4.94696E-10,0.000252664,0.007630032,2.88706E-07,0.002505764,0.000144984,0.000165745,5.81894E-07,4.62623E-05,0.010528727,6.96209E-06,1.23426E-06,-5.70443E-07
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,A4,Transport to site,tkm,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,screws,"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.00,9.74E-05,5.36E-08,5.26E-08,1.94421E-11,3.17558E-07,3.08145E-08,1.88849E-10,0.001529512,6.42201E-13,1.80905E-11,7.66587E-06,0.000338521,1.9203E-08,0.000149264,8.64611E-06,1.01037E-05,8.81599E-09,1.3531E-06,0.000344642,2.84395E-07,3.71936E-08,-1.51489E-08
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,C2,Transport EOL,tkm,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A5,A5,C2,Transport EOL,tkm,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,screws,"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.00,1.77E-04,8.34E-08,9.33E-08,3.32321E-11,5.71723E-07,4.87988E-08,5.35029E-10,0.002678008,1.29373E-12,2.60111E-11,1.25089E-05,0.000440417,2.24963E-08,0.000144783,8.38047E-06,9.6725E-06,2.19733E-08,2.09359E-06,0.000529122,4.91887E-07,6.12802E-08,-2.414E-08
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),No impact landfilling,A4-5: Construction process stage,A5,A5,C4,Process,kg,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,screws,"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.00,1.25E-05,5.63E-09,6.41E-09,2.27142E-12,4.01823E-08,3.39942E-09,4.98504E-11,0.00018677,1.07594E-13,1.66274E-12,8.49236E-07,2.56455E-05,9.70378E-10,8.4222E-06,4.87309E-07,5.5709E-07,1.95582E-09,1.55494E-07,3.53884E-05,2.34005E-08,4.14852E-09,-1.91734E-09
EW05 CLT + str blown,21,(41./81)Fj3 - AA - 0160,Wall - external finish | Thermal insulation | Flakes | Straw (Blow-in 160 mm) | For cavity wall,blow-in straw,"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.91,7.86E-02,4.32E-05,4.24E-05,1.56767E-08,0.000256056,2.48466E-05,1.52275E-07,1.233287143,5.17825E-10,1.45869E-08,0.0061812,0.272959125,1.54839E-05,0.120355693,0.006971593,0.008146908,7.10857E-06,0.00109104,0.277894357,0.000229315,2.99902E-05,-1.2215E-05
